classifier,dataset,interpolation,batch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
ResNet,BeetleFly,fourier,78,90,1.0,0.6952380952380952,0.3047619047619048,0.8571428571428571,0.1428571428571429
ResNet,BeetleFly,linear,78,90,1.0,0.74,0.26,0.86,0.14
ResNet,BeetleFly,fourier,84,90,1.0,0.7526881720430108,0.24731182795698925,0.8924731182795699,0.10752688172043012
ResNet,BeetleFly,linear,84,90,1.0,0.7640449438202247,0.2359550561797753,0.9101123595505618,0.0898876404494382
ResNet,BeetleFly,fourier,90,90,1.0,0.7052631578947368,0.2947368421052632,0.9052631578947369,0.09473684210526312
ResNet,BeetleFly,linear,90,90,1.0,0.7333333333333333,0.2666666666666667,0.9,0.09999999999999998
ResNet,BeetleFly,fourier,96,90,1.0,0.7096774193548387,0.29032258064516125,0.8924731182795699,0.10752688172043012
ResNet,BeetleFly,linear,96,90,1.0,0.788235294117647,0.21176470588235297,0.9058823529411765,0.09411764705882353
ResNet,Earthquakes,fourier,102,90,1.0,0.7121879588839941,0.2878120411160059,0.7900146842878121,0.20998531571218793
ResNet,Earthquakes,linear,102,90,1.0,0.6784260515603799,0.32157394843962006,0.751696065128901,0.24830393487109903
ResNet,Earthquakes,fourier,108,90,1.0,0.671071953010279,0.328928046989721,0.7533039647577092,0.24669603524229078
ResNet,Earthquakes,linear,108,90,1.0,0.6671554252199413,0.3328445747800587,0.7521994134897361,0.24780058651026393
ResNet,Earthquakes,fourier,114,90,1.0,0.6641901931649331,0.3358098068350669,0.7578008915304606,0.2421991084695394
ResNet,Earthquakes,linear,114,90,1.0,0.6598240469208211,0.3401759530791789,0.7478005865102639,0.25219941348973607
ResNet,Earthquakes,fourier,120,90,1.0,0.6637037037037037,0.3362962962962963,0.7496296296296296,0.25037037037037035
ResNet,Earthquakes,linear,120,90,1.0,0.6631736526946108,0.3368263473053892,0.75,0.25
ResNet,Earthquakes,fourier,126,90,1.0,0.6878048780487804,0.31219512195121957,0.7626016260162601,0.23739837398373986
ResNet,Earthquakes,linear,126,90,1.0,0.6733128834355828,0.3266871165644172,0.7469325153374233,0.25306748466257667
ResNet,Earthquakes,fourier,12,90,1.0,0.8163430420711975,0.18365695792880254,0.8576051779935275,0.14239482200647247
ResNet,Earthquakes,linear,12,90,1.0,0.782983970406905,0.21701602959309496,0.8335388409371147,0.16646115906288528
ResNet,Earthquakes,fourier,18,90,1.0,0.8105489773950484,0.1894510226049516,0.8826695371367062,0.11733046286329385
ResNet,Earthquakes,linear,18,90,1.0,0.7773820124666073,0.22261798753339268,0.8450578806767587,0.1549421193232413
ResNet,Earthquakes,fourier,24,90,1.0,0.825511432009627,0.17448856799037304,0.8808664259927798,0.11913357400722024
ResNet,Earthquakes,linear,24,90,1.0,0.7822318526543879,0.21776814734561212,0.838569880823402,0.161430119176598
ResNet,Earthquakes,fourier,30,90,1.0,0.7988888888888889,0.20111111111111113,0.87,0.13
ResNet,Earthquakes,linear,30,90,1.0,0.7851690294438386,0.2148309705561614,0.8495092693565977,0.15049073064340235
ResNet,Earthquakes,fourier,36,90,1.0,0.8144126357354393,0.18558736426456068,0.8845014807502468,0.11549851924975318
ResNet,Earthquakes,linear,36,90,1.0,0.7630736392742796,0.23692636072572038,0.8303094983991463,0.16969050160085375
ResNet,Earthquakes,fourier,42,90,1.0,0.7816550348953141,0.21834496510468593,0.8564307078763709,0.14356929212362912
ResNet,Earthquakes,linear,42,90,1.0,0.7721021611001965,0.22789783889980353,0.8506876227897839,0.14931237721021606
ResNet,Earthquakes,fourier,48,90,1.0,0.7731568998109641,0.22684310018903586,0.8563327032136105,0.14366729678638945
ResNet,Earthquakes,linear,48,90,1.0,0.7495183044315993,0.2504816955684007,0.8227360308285164,0.17726396917148357
ResNet,Earthquakes,fourier,54,90,1.0,0.7538022813688213,0.24619771863117867,0.846958174904943,0.15304182509505704
ResNet,Earthquakes,linear,54,90,1.0,0.725,0.275,0.7980769230769231,0.20192307692307687
