classifier,dataset,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
ResNet,BeetleFly,84,90,1.0,0.6875,0.3125,0.9,0.09999999999999998
ResNet,BeetleFly,90,90,1.0,0.625,0.375,0.9111111111111111,0.0888888888888889
ResNet,BeetleFly,96,90,1.0,0.6136363636363636,0.38636363636363635,0.8478260869565217,0.15217391304347827
ResNet,Earthquakes,102,90,1.0,0.6485013623978202,0.3514986376021798,0.7360248447204969,0.2639751552795031
ResNet,Earthquakes,108,90,1.0,0.6309963099630996,0.36900369003690037,0.7491039426523297,0.2508960573476703
ResNet,Earthquakes,114,90,1.0,0.6701388888888888,0.32986111111111116,0.7517985611510791,0.24820143884892087
ResNet,Earthquakes,120,90,1.0,0.6717557251908397,0.3282442748091603,0.7320754716981132,0.26792452830188684
ResNet,Earthquakes,126,90,1.0,0.696969696969697,0.303030303030303,0.7162629757785467,0.2837370242214533
ResNet,Earthquakes,12,90,1.0,0.6576968737633557,0.3423031262366443,0.7112733171127331,0.2887266828872669
ResNet,Earthquakes,18,90,1.0,0.6564841498559078,0.34351585014409225,0.7226606538895152,0.27733934611048483
ResNet,Earthquakes,24,90,1.0,0.6674157303370787,0.3325842696629213,0.7204783258594918,0.2795216741405082
ResNet,Earthquakes,30,90,1.0,0.6527415143603134,0.34725848563968664,0.7326106594399278,0.26738934056007224
ResNet,Earthquakes,36,90,1.0,0.6890243902439024,0.3109756097560976,0.7334058759521219,0.2665941240478781
ResNet,Earthquakes,42,90,1.0,0.6878238341968912,0.3121761658031088,0.727509778357236,0.27249022164276404
ResNet,Earthquakes,48,90,1.0,0.6610687022900763,0.3389312977099237,0.75,0.25
ResNet,Earthquakes,54,90,1.0,0.6743421052631579,0.32565789473684215,0.762987012987013,0.237012987012987
ResNet,Earthquakes,60,90,1.0,0.6527514231499051,0.3472485768500949,0.7547528517110266,0.24524714828897343
ResNet,Earthquakes,66,90,1.0,0.657563025210084,0.34243697478991597,0.7227722772277227,0.27722772277227725
ResNet,Earthquakes,6,90,1.0,0.6506196377502383,0.34938036224976166,0.6980629539951574,0.3019370460048426
ResNet,Earthquakes,72,90,1.0,0.6626262626262627,0.3373737373737373,0.7478448275862069,0.25215517241379315
ResNet,Earthquakes,78,90,1.0,0.6690821256038647,0.3309178743961353,0.7441860465116279,0.2558139534883721
ResNet,Earthquakes,84,90,1.0,0.672289156626506,0.327710843373494,0.7857142857142857,0.2142857142857143
ResNet,Earthquakes,90,90,1.0,0.6894586894586895,0.3105413105413105,0.7463126843657817,0.2536873156342183
ResNet,Earthquakes,96,90,1.0,0.6371951219512195,0.3628048780487805,0.711764705882353,0.28823529411764703
ResNet,OSULeaf,100,90,1.0,0.881578947368421,0.11842105263157898,0.7169421487603306,0.2830578512396694
ResNet,OSULeaf,105,90,1.0,0.878727634194831,0.12127236580516898,0.7520325203252033,0.2479674796747967
ResNet,OSULeaf,10,90,1.0,0.976159230096238,0.02384076990376205,0.8080068876452863,0.19199311235471372
ResNet,OSULeaf,15,90,1.0,0.9705790297339593,0.029420970266040736,0.7816553428042001,0.21834465719579987
ResNet,OSULeaf,20,90,1.0,0.9567723342939481,0.043227665706051854,0.7656574035669846,0.23434259643301536
ResNet,OSULeaf,25,90,1.0,0.9576530612244898,0.04234693877551021,0.7604790419161677,0.23952095808383234
ResNet,OSULeaf,30,90,1.0,0.9478260869565217,0.05217391304347829,0.7683000604960678,0.2316999395039322
ResNet,OSULeaf,35,90,1.0,0.947296372347707,0.05270362765229297,0.7544951590594744,0.2455048409405256
ResNet,OSULeaf,40,90,1.0,0.9416809605488851,0.05831903945111494,0.7328825021132713,0.26711749788672867
ResNet,OSULeaf,45,90,1.0,0.940959409594096,0.059040590405904037,0.7325023969319271,0.2674976030680729
ResNet,OSULeaf,50,90,1.0,0.9420765027322404,0.05792349726775958,0.7297008547008547,0.27029914529914534
ResNet,OSULeaf,55,90,1.0,0.925609756097561,0.07439024390243898,0.695920889987639,0.304079110012361
