classifier,dataset,perturbation,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inverse_tp,change_inverse_tp
MLP,OSULeaf,zero,90,50,0.9449999928474426,0.5058333333333334,0.43916665951410927,0.305,0.6399999928474427
MLP,OSULeaf,mean,95,95,0.9449999928474426,0.4041237113402062,0.5408762815072364,0.23195876288659795,0.7130412299608446
MLP,OSULeaf,mean,95,90,0.9449999928474426,0.5021533161068045,0.44284667674063816,0.3066322136089578,0.6383677792384848
MLP,OSULeaf,mean,95,85,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,mean,95,80,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,mean,95,75,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,mean,95,70,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,mean,95,65,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,mean,95,60,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,mean,95,55,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,mean,95,50,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,zero,95,95,0.9449999928474426,0.4041237113402062,0.5408762815072364,0.23195876288659795,0.7130412299608446
MLP,OSULeaf,zero,95,90,0.9449999928474426,0.5021533161068045,0.44284667674063816,0.3066322136089578,0.6383677792384848
MLP,OSULeaf,zero,95,85,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,zero,95,80,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,zero,95,75,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,zero,95,70,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,zero,95,65,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,zero,95,60,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,zero,95,55,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
MLP,OSULeaf,zero,95,50,0.9449999928474426,0.5183333333333333,0.4266666595141093,0.3225,0.6224999928474426
ResNet,OSULeaf,mean,100,95,1.0,0.8361774744027304,0.16382252559726962,0.6757679180887372,0.32423208191126285
