classifier,dataset,perturbation,distance_metric,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
MLP,Earthquakes,zero,euclidean,72,90,1.0,0.7900552486187845,0.2099447513812155,0.7955801104972375,0.20441988950276246
MLP,Earthquakes,mean,dtw,78,90,1.0,0.8068181818181818,0.19318181818181823,0.8125,0.1875
MLP,Earthquakes,mean,euclidean,78,90,1.0,0.8157894736842105,0.1842105263157895,0.8210526315789474,0.17894736842105263
MLP,Earthquakes,zero,dtw,78,90,1.0,0.8034682080924855,0.19653179190751446,0.8034682080924855,0.19653179190751446
MLP,Earthquakes,zero,euclidean,78,90,1.0,0.8111111111111111,0.18888888888888888,0.8111111111111111,0.18888888888888888
MLP,Earthquakes,mean,dtw,84,90,1.0,0.8342541436464088,0.16574585635359118,0.8397790055248618,0.16022099447513816
MLP,Earthquakes,mean,euclidean,84,90,1.0,0.8275862068965517,0.1724137931034483,0.8390804597701149,0.16091954022988508
MLP,Earthquakes,zero,dtw,84,90,1.0,0.8342245989304813,0.1657754010695187,0.8502673796791443,0.14973262032085566
MLP,Earthquakes,zero,euclidean,84,90,1.0,0.8245614035087719,0.17543859649122806,0.8304093567251462,0.16959064327485385
MLP,Earthquakes,mean,dtw,90,90,1.0,0.819672131147541,0.180327868852459,0.8633879781420765,0.13661202185792354
MLP,Earthquakes,mean,euclidean,90,90,1.0,0.8089887640449438,0.1910112359550562,0.8595505617977528,0.1404494382022472
MLP,Earthquakes,zero,dtw,90,90,1.0,0.825136612021858,0.17486338797814205,0.8743169398907104,0.12568306010928965
MLP,Earthquakes,zero,euclidean,90,90,1.0,0.827027027027027,0.17297297297297298,0.8702702702702703,0.12972972972972974
MLP,Earthquakes,mean,dtw,96,90,1.0,0.8306010928961749,0.1693989071038251,0.8579234972677595,0.14207650273224048
MLP,Earthquakes,mean,euclidean,96,90,1.0,0.8324022346368715,0.16759776536312854,0.8491620111731844,0.15083798882681565
MLP,Earthquakes,zero,dtw,96,90,1.0,0.8152173913043478,0.18478260869565222,0.842391304347826,0.15760869565217395
MLP,Earthquakes,zero,euclidean,96,90,1.0,0.825136612021858,0.17486338797814205,0.8415300546448088,0.1584699453551912
MLP,OSULeaf,mean,dtw,100,90,0.9449999928474426,0.37209302325581395,0.5729069695916287,0.17054263565891473,0.7744573571885279
MLP,OSULeaf,mean,euclidean,100,90,0.9449999928474426,0.35968379446640314,0.5853161983810395,0.16205533596837945,0.7829446568790632
MLP,OSULeaf,zero,dtw,100,90,0.9449999928474426,0.3563218390804598,0.5886781537669828,0.16091954022988506,0.7840804526175575
MLP,OSULeaf,zero,euclidean,100,90,0.9449999928474426,0.36538461538461536,0.5796153774628272,0.16153846153846155,0.7834615313089811
MLP,OSULeaf,mean,dtw,105,90,0.9449999928474426,0.3923076923076923,0.5526923005397504,0.23076923076923078,0.7142307620782118
MLP,OSULeaf,mean,euclidean,105,90,0.9449999928474426,0.3968871595330739,0.5481128333143688,0.22568093385214008,0.7193190589953026
MLP,OSULeaf,zero,dtw,105,90,0.9449999928474426,0.3953488372093023,0.5496511556381403,0.22868217054263565,0.716317822304807
MLP,OSULeaf,zero,euclidean,105,90,0.9449999928474426,0.38461538461538464,0.560384608232058,0.2230769230769231,0.7219230697705196
MLP,OSULeaf,mean,dtw,10,90,0.9449999928474426,0.48464163822525597,0.46035835462218666,0.30716723549488056,0.6378327573525621
MLP,OSULeaf,mean,euclidean,10,90,0.9449999928474426,0.4597315436241611,0.48526844922328155,0.30201342281879195,0.6429865700286507
MLP,OSULeaf,zero,dtw,10,90,0.9449999928474426,0.4768211920529801,0.4681788007944625,0.31125827814569534,0.6337417147017472
MLP,OSULeaf,zero,euclidean,10,90,0.9449999928474426,0.4542483660130719,0.49075162683437074,0.30392156862745096,0.6410784242199916
MLP,OSULeaf,mean,dtw,15,90,0.9449999928474426,0.40794223826714804,0.5370577545802946,0.2743682310469314,0.6706317618005112
MLP,OSULeaf,mean,euclidean,15,90,0.9449999928474426,0.4142857142857143,0.5307142785617283,0.275,0.6699999928474426
MLP,OSULeaf,zero,dtw,15,90,0.9449999928474426,0.4181184668989547,0.5268815259484879,0.2682926829268293,0.6767073099206133
MLP,OSULeaf,zero,euclidean,15,90,0.9449999928474426,0.4068965517241379,0.5381034411233048,0.2655172413793103,0.6794827514681323
MLP,OSULeaf,mean,dtw,20,90,0.9449999928474426,0.40344827586206894,0.5415517169853736,0.25517241379310346,0.6898275790543391
MLP,OSULeaf,mean,euclidean,20,90,0.9449999928474426,0.4,0.5449999928474426,0.256140350877193,0.6888596419702496
MLP,OSULeaf,zero,dtw,20,90,0.9449999928474426,0.3896551724137931,0.5553448204336495,0.25517241379310346,0.6898275790543391
MLP,OSULeaf,zero,euclidean,20,90,0.9449999928474426,0.3892857142857143,0.5557142785617284,0.25357142857142856,0.6914285642760141
MLP,OSULeaf,mean,dtw,25,90,0.9449999928474426,0.4513888888888889,0.49361110395855373,0.3229166666666667,0.6220833261807759
MLP,OSULeaf,mean,euclidean,25,90,0.9449999928474426,0.44982698961937717,0.49517300322806546,0.314878892733564,0.6301211001138787
MLP,OSULeaf,zero,dtw,25,90,0.9449999928474426,0.4440677966101695,0.5009321962372731,0.3152542372881356,0.629745755559307
MLP,OSULeaf,zero,euclidean,25,90,0.9449999928474426,0.4520547945205479,0.4929451983268947,0.3116438356164384,0.6333561572310042
MLP,OSULeaf,mean,dtw,30,90,0.9449999928474426,0.4421768707482993,0.5028231220991433,0.2925170068027211,0.6524829860447215
MLP,OSULeaf,mean,euclidean,30,90,0.9449999928474426,0.4463667820069204,0.4986332108405222,0.2975778546712803,0.6474221381761623
MLP,OSULeaf,zero,dtw,30,90,0.9449999928474426,0.42567567567567566,0.519324317171767,0.2972972972972973,0.6477026955501453
MLP,OSULeaf,zero,euclidean,30,90,0.9449999928474426,0.4208754208754209,0.5241245719720218,0.2895622895622896,0.655437703285153
MLP,OSULeaf,mean,dtw,35,90,0.9449999928474426,0.4014084507042254,0.5435915421432173,0.3732394366197183,0.5717605562277244
MLP,OSULeaf,mean,euclidean,35,90,0.9449999928474426,0.40860215053763443,0.5363978423098081,0.36917562724014336,0.5758243656072992
MLP,OSULeaf,zero,dtw,35,90,0.9449999928474426,0.3916083916083916,0.553391601239051,0.36363636363636365,0.581363629211079
MLP,OSULeaf,zero,euclidean,35,90,0.9449999928474426,0.4020618556701031,0.5429381371773395,0.36769759450171824,0.5773023983457244
MLP,OSULeaf,mean,dtw,40,90,0.9449999928474426,0.3821428571428571,0.5628571357045855,0.28214285714285714,0.6628571357045855
MLP,OSULeaf,mean,euclidean,40,90,0.9449999928474426,0.3821428571428571,0.5628571357045855,0.2642857142857143,0.6807142785617284
MLP,OSULeaf,zero,dtw,40,90,0.9449999928474426,0.37545126353790614,0.5695487293095365,0.2563176895306859,0.6886823033167567
MLP,OSULeaf,zero,euclidean,40,90,0.9449999928474426,0.397887323943662,0.5471126689037806,0.2676056338028169,0.6773943590446257
MLP,OSULeaf,mean,dtw,45,90,0.9449999928474426,0.38848920863309355,0.5565107842143491,0.35251798561151076,0.5924820072359318
MLP,OSULeaf,mean,euclidean,45,90,0.9449999928474426,0.36971830985915494,0.5752816829882876,0.3380281690140845,0.6069718238333581
MLP,OSULeaf,zero,dtw,45,90,0.9449999928474426,0.36879432624113473,0.5762056666063079,0.33687943262411346,0.6081205602233292
MLP,OSULeaf,zero,euclidean,45,90,0.9449999928474426,0.375,0.5699999928474426,0.35,0.5949999928474426
MLP,OSULeaf,mean,dtw,50,90,0.9449999928474426,0.40344827586206894,0.5415517169853736,0.23448275862068965,0.710517234226753
MLP,OSULeaf,mean,euclidean,50,90,0.9449999928474426,0.3964285714285714,0.5485714214188713,0.25357142857142856,0.6914285642760141
MLP,OSULeaf,zero,dtw,50,90,0.9449999928474426,0.40070921985815605,0.5442907729892865,0.24822695035460993,0.6967730424928327
MLP,OSULeaf,zero,euclidean,50,90,0.9449999928474426,0.39792387543252594,0.5470761174149167,0.2422145328719723,0.7027854599754704
MLP,OSULeaf,mean,dtw,55,90,0.9449999928474426,0.378839590443686,0.5661604024037566,0.21160409556313994,0.7333958972843027
MLP,OSULeaf,mean,euclidean,55,90,0.9449999928474426,0.37722419928825623,0.5677757935591864,0.2099644128113879,0.7350355800360547
MLP,OSULeaf,zero,dtw,55,90,0.9449999928474426,0.3737024221453287,0.571297570702114,0.21453287197231835,0.7304671208751243
MLP,OSULeaf,zero,euclidean,55,90,0.9449999928474426,0.375,0.5699999928474426,0.2222222222222222,0.7227777706252204
MLP,OSULeaf,mean,dtw,5,90,0.9449999928474426,0.48659003831417624,0.4584099545332664,0.3946360153256705,0.5503639775217721
MLP,OSULeaf,mean,euclidean,5,90,0.9449999928474426,0.5017543859649123,0.44324560688253034,0.41403508771929826,0.5309649051281444
MLP,OSULeaf,zero,dtw,5,90,0.9449999928474426,0.5018181818181818,0.4431818110292608,0.4109090909090909,0.5340909019383517
MLP,OSULeaf,zero,euclidean,5,90,0.9449999928474426,0.4888888888888889,0.45611110395855375,0.40370370370370373,0.541296289143739
MLP,OSULeaf,mean,dtw,60,90,0.9449999928474426,0.4014084507042254,0.5435915421432173,0.2887323943661972,0.6562675984812454
MLP,OSULeaf,mean,euclidean,60,90,0.9449999928474426,0.42953020134228187,0.5154697915051607,0.30201342281879195,0.6429865700286507
MLP,OSULeaf,zero,dtw,60,90,0.9449999928474426,0.42955326460481097,0.5154467282426316,0.29896907216494845,0.6460309206824941
MLP,OSULeaf,zero,euclidean,60,90,0.9449999928474426,0.41379310344827586,0.5312068893991668,0.2896551724137931,0.6553448204336495
